t_index term df
1589 carmodi 4
1590 carnahan 66
1591 carnahand 1
1592 carniv 1
1593 carol 6
1594 carolina 5
1595 carpent 7
1596 carper 8
1597 carpet 5
1598 carpetbagg 2
1599 carr 1
1600 carri 183
1601 carrier 20
1602 carrol 2
1603 carrot 1
1604 carson 5
1605 cart 1
1606 carter 10
1607 carthag 2
1608 carv 9
1609 carver 1
1610 case 169
1611 casetch 1
1612 cash 24
1613 cashier 1
1614 casino 1
1615 casket 16
1616 cast 47
1617 castellano 2
1618 castiel 1
1619 castil 1
1620 castleburi 4
1621 castro 9
1622 casual 2
1623 casualti 22
1624 cat 2
1625 cataclysm 1
1626 catalyst 1
1627 catastroph 12
1628 catcal 1
1629 catch 16
1630 cate 4
1631 categor 1
1632 categori 1
1633 caterpillar 2
1634 cathedr 1
1635 catherin 3
1636 cathi 1
1637 cathol 7
1638 catholicrelief 1
1639 cattl 2
1640 caucasian 2
1641 caught 46
1642 caus 132
1643 caution 18
1644 cautiou 19
1645 cautious 2
1646 cave 3
1647 cavern 1
1648 cavort 1
1649 cawl 3
1650 cayman 3
1651 cb 6
1652 cd 1
1653 ceas 14
1654 ceaselessli 2
1655 ceausescu 1
1656 cecil 1
1657 cedar 2
1658 cede 3
1659 cedomir 1
1660 cedric 6
1661 ceil 2
1662 celebr 83
1663 celebrateor 1
1664 celera 1
1665 celest 1
1666 cell 23
1667 cellblock 1
1668 cellphon 2
1669 cellular 10
1670 cement 7
1671 cemeteri 8
1672 censor 2
1673 censorship 2
1674 cent 1
1675 centcom 2
1676 center 145
1677 centerpiec 2
1678 centigrad 1
1679 centimet 1
1680 central 85
1681 centrist 6
1682 centuri 28
1683 ceo 1
1684 ceremoni 52
1685 cerf 9
1686 cerna 3
1687 certainli 56
1688 certainti 4
1689 certif 3
